,city,job_title,company_name,location,summary,salary
1,New+York,Junior Data Scientist,Viacom,"New York, NY 10036",Nothing found,Overview and Responsibilities. Viacom’s Advertising Science team uses data science to empower and bring value and data-driven decision-making to our Ad...
2,New+York,Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",Nothing found,"Lookingfor opportunities to use cutting edge technologies analyzing petabytes of datain a world class Hadoop cluster, generating insights to guide consumers..."
3,New+York,Research Intern – Machine Learning at Microsoft Research NYC,Microsoft,"New York, NY 10022 (Midtown area)",Nothing found,"Empower every person and organization on the planet to achieve more. That’s what inspires us, drives our work, and pushes us to challenge the status quo every..."
4,New+York,Data Scientist (Multiple Levels) - NYC,T. Rowe Price,"New York, NY",Nothing found,Our mission as a leading investment management firm is to help our clients achieve their long-term financial goals. Rowe Price....
5,New+York,"Intern, Data Science - Part-Time",SiriusXM,"New York, NY 10001 (Chelsea area)",Nothing found,"Position Type:. Fall 2019 (September 16 - December 6, 2019). New York, NY. Position Summary:...."
6,New+York,"Data Scientist, Creator Marketing",Spotify,"New York, NY 10011 (Chelsea area)",Nothing found,"Creator Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics...."
7,New+York,Data Scientist Summer Intern,Bowery Valuation,"New York, NY",Nothing found,Data Scientist Summer Intern. Bowery Valuation is seeking a Data Scientist Intern to assist in statistical projects surrounding public and proprietary data....
8,New+York,"Data Scientist,Creator Marketplace – all levels",Spotify,"New York, NY 10011 (Chelsea area)",Nothing found,"Creator Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics...."
9,New+York,Data Scientist,Sony Music Entertainment,"New York, NY 10010 (Gramercy area)",Nothing found,"Sony Music is committed to providing equal employment opportunity for all persons regardless of age, disability, national origin, race, color, religion, sex,..."
10,New+York,MODA Data Scientist,New York City DEPT OF INFO TECH & TELECOMM,"Manhattan, NY","$52,524 - $79,000 a year","The mission of the Mayor’s Office of Data Analytics (MODA) is to help City agencies apply strategic analytical thinking to data, to deliver services more..."
11,New+York,Data Scientist,Ocrolus,"New York, NY","$113,000 - $167,000 a year (Indeed est.)",Experience working with Data Scientists and Data Analysts. We're looking for a Data Scientist to join our team....
12,New+York,"Data Scientist, Detection",White Ops,"New York, NY","$93,000 - $137,000 a year (Indeed est.)",Data Engineering experience. Interest in Data Visualization. The Data Intel team is responsible for surfacing useful insights from the terabytes of data we...
13,New+York,"Data Scientist,Creator Marketplace – all levels",Spotify,"New York, NY 10011 (Chelsea area)","$113,000 - $167,000 a year (Indeed est.)","We’re looking for Data Scientists to join us at multiple levels. Work closely with cross-functional teams of data scientists, product managers, designers and..."
14,New+York,Data Scientist,Butterfly Network,"New York, NY","$92,000 - $135,000 a year (Indeed est.)",We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience....
15,New+York,Data Scientist,Revlon,"New York, NY","$97,000 - $143,000 a year (Indeed est.)",We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience....
16,New+York,"Data Scientist, Risk",Square,"New York, NY 10032 (Washington Heights area)","$83,000 - $122,000 a year (Indeed est.)","As a Senior Data Scientist at Square working on Risk, you will lead projects that derive value from our unique, rich, and rapidly growing data...."
17,New+York,Data Scientist,Source Enterprises,"New York, NY","$78,000 - $115,000 a year (Indeed est.)","We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver..."
18,New+York,Data Scientist (Multiple Levels) - NYC,T. Rowe Price,"New York, NY","$74,000 - $109,000 a year (Indeed est.)","We’re looking for Data Scientists at various levels to join our Technology Development Center in Union Square, NYC...."
19,New+York,Data Scientist - Operations Research,New York City FIRE DEPARTMENT,"Brooklyn, NY","$82,008 - $94,309 a year","The Fire Department, City of New York (FDNY), seeks a full-time Data Scientist in the Bureau of Management Analysis and Planning, Operations Research Unit...."
20,New+York,"Data Scientist (C13/VP) New York, NY",Citi,New York State,"$99,000 - $146,000 a year (Indeed est.)",Ability to perform data assessment and understand data imputations and impact. The candidate will be a part of a team of data scientists that will be tasked...
21,New+York,Data Scientist,Citi,"New York, NY 10261 (Murray Hill area)",Nothing found,Ensuring the completeness and comprehensiveness of data structure by integrating the sources for newly identified data points....
22,New+York,Senior Data Scientist,IBM,"New York, NY 10002 (Lower East Side area)",Nothing found,"Senior Data Scientist, IBM Corporation, New York, NY:. Technical management of a team of data scientists in building enterprise AI solutions...."
23,New+York,Senior Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",Nothing found,"Aetna takes our candidate's data privacy seriously. Use strong programming skills to explore, examine and interpret large volumes of data in various forms...."
24,New+York,Design & Research Analyst (Data),New York City TAXI & LIMOUSINE COMMISSION,"New York, NY 10004 (Financial District area)",$28.75 - $44.63 an hour,"Mine existing data sources to understand common issue trends; Foundational knowledge of data analysis using tools like R, Python, or SQL;..."
25,New+York,Policy and Data Research Analyst,NYC Campaign Finance,"New York, NY 10007 (Financial District area)","$55,000 - $65,000 a year","Policy and Data Research Analyst. At least one year’s work experience with data collection, analysis, and reporting, preferably related to voting and elections...."
26,New+York,"Data Scientist, Insights & Analytics",Spotify,"New York, NY 10011 (Chelsea area)",Nothing found,You have 2-4 years of experience as a practicing data scientist or data/analytics engineer. Data Scientists at Spotify turn terabytes of data into insights to...
27,New+York,Machine Learning Engineering Intern,Butterfly Network,"New York, NY",Nothing found,"We’ve built a strong research team and are looking for talented Software Engineers, Data Scientists and Research Scientist interns. Job Description...."
28,New+York,Valuations Analyst (Entry Level) - Cirium - New York City,Reed Business Information,"New York, NY 10022 (Midtown area)",Nothing found,"Cirium employs a team of over 400 technologists, analysts, data scientists and market experts in the UK, US, Europe, Middle East, India and Asia-Pacific...."
29,New+York,Data Visualization Engineer,Revel,"Brooklyn, NY",Nothing found,"We’re looking for the special combination of someone who is half Data Scientist, half Engineer, and half Artist to help us translate a variety of data, from the..."
30,New+York,Head of Data Science,EQUINOX,"New York, NY",Nothing found,Make Equinox data more discoverable and easy to use for Data Scientists and Analysts across the company. Collaborate with other specialists and Data Scientists...
31,New+York,Data Analyst / Data Scientist,Defined Clarity,"New York, NY",$65 - $75 an hour,"Knowledge of shell scripts and other languages including Java, Python or Perl is a. R Studio and Python scripting is a plus...."
32,New+York,Data Scientist ML Engineer,PA Consulting Group,"New York, NY 10174 (Murray Hill area)","$116,000 - $171,000 a year (Indeed est.)","Strong understanding and application of statistical methods. S3, EC2, Hadoop/MapReduce, Pig, Hive, Spark, etc). Isn’t it time you joined us?..."
33,New+York,Data Engineer – Core Datasets,Spotify,"New York, NY 10011 (Chelsea area)",Nothing found,"Coding skills for analytics and data engineering/manipulation (Scala, Java and Python). Being passionate about what you do also means celebrating milestones..."
