Price,Rent,Area,Rooms,Floor,Location,Dealer,Building,Furnished,Dishwasher,Elevator,Balcony,Popularity,Time,Date,Title,Id_number,Link
1 450 zł,430 zł,42 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,3078.0,2,13.10.2019,Wrocław przytulne mieszkanie do wynajęcia od 04.11.2019,537053084,https://www.olx.pl/oferta/wroclaw-przytulne-mieszkanie-do-wynajecia-od-04-11-2019-CID3-IDAlq2v.html#cf4e890f05;promoted
2 000 zł,500 zł,50 m²,2 pokoje,5,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,1,1,359.0,22,14.10.2019,Eleganckie i stylowe mieszkanie,561452516,https://www.olx.pl/oferta/eleganckie-i-stylowe-mieszkanie-CID3-IDBZNrK.html#cf4e890f05;promoted
2 000 zł,700 zł,68 m²,2 pokoje,3,"Wrocław, Dolnośląskie, Śródmieście",Biuro / Deweloper,Kamienica,Tak,0,0,1,302.0,+30,9.10.2019,Sienkiewicza Śródmieście - 2 duże pokoje,561000259,https://www.olx.pl/oferta/sienkiewicza-srodmiescie-2-duze-pokoje-CID3-IDBXTNh.html#cf4e890f05;promoted
1 950 zł,550 zł,45 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Apartamentowiec,Tak,0,0,0,10045.0,9,15.10.2019,Apartament wynajme bez pośredników,545010013,https://www.olx.pl/oferta/apartament-wynajme-bez-posrednikow-CID3-IDASO05.html#cf4e890f05;promoted
2 000 zł,500 zł,38 m²,2 pokoje,2,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Apartamentowiec,Tak,1,1,0,1179.0,0,15.10.2019,Mieszkanie na wynajem,555813029,https://www.olx.pl/oferta/mieszkanie-na-wynajem-CID3-IDBC8mh.html#cf4e890f05;promoted
1 400 zł,600 zł,38 m²,2 pokoje,10,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,75.0,14,15.10.2019,Do wynajęcia 2 pokojowe mieszkanie przy ul. Jabłecznej,562230152,https://www.olx.pl/oferta/do-wynajecia-2-pokojowe-mieszkanie-przy-ul-jablecznej-CID3-IDC33Kg.html#cf4e890f05
2 600 zł,600 zł,55 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Blok,Tak,1,1,1,26.0,+30,15.10.2019,Mieszkanie do wynajęcia Wrocław 2 pok. 55m blisko Grunwaldzki Reja,562229070,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-wroclaw-2-pok-55m-blisko-grunwaldzki-reja-CID3-IDC33sO.html#cf4e890f05
1 200 zł,1 200 zł,65 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Blok,Tak,0,0,1,562.0,2,15.10.2019,Pokój dwuosobowy z balkonem ul. Borowska / szpital,528012873,https://www.olx.pl/oferta/pokoj-dwuosobowy-z-balkonem-ul-borowska-szpital-CID3-IDzJugF.html#cf4e890f05;promoted
2 500 zł,549 zł,65 m²,3 pokoje,3,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Blok,Tak,1,1,1,999.0,+30,15.10.2019,"Mieszkanie 65m2, Wrocław - do wynajęcia",549029700,https://www.olx.pl/oferta/mieszkanie-65m2-wroclaw-do-wynajecia-CID3-IDB9FHK.html#cf4e890f05
1 890 zł,436 zł,56 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,0,937.0,6,15.10.2019,"Na najemce czeka 2 pok. mieszkanie ul. Zagony, Muchobor Wielki + garaz",556871210,https://www.olx.pl/oferta/na-najemce-czeka-2-pok-mieszkanie-ul-zagony-muchobor-wielki-garaz-CID3-IDBGzDI.html#cf4e890f05;promoted
